SIS User ID,Section,Introductions (3044665),Pre-Test (3044652),Getting Started Quiz (3044655),Journal 1 (3044674),Journal 2 (3044675),Journal 3 (3044676),Journal 4 (3044677),Journal 5 (3044678),Journal 6 (3044679),Journal 7 (3044680),Journal 8 (3044681),Journal 9 (3044682),Journal 10 (3044683),Journal 11 (3044684),Journal 12 (3044685),Quiz 01 Java / IPO / Variables (3044651),Quiz 02 Classes / Operators / Arithmetic (3044653),Quiz 03 Decisions (3044647),Quiz 04 Methods (3044657),Quiz 05 Loops (3044658),Quiz 06 Exceptions (3044654),Quiz 07 OOP (3044662),Quiz 08 Arrays (3044659),Quiz 09 Data Structures / Collections (3044656),Quiz 10 2d Arrays / Generics (3044650),Quiz 11 OOP2 (3044649),Quiz 12 Strings (3044660),Quiz Avg,Exercises Variables (3044669),Exercises Operators & Arithmetic / Basics (3044686),Exercises Flow Control / If and Switch (3044668),Exercises Methods (3044687),Exercises Loops (3044670),Exercises Exception Handling (3044692),Exercises Classes (3044690),Exercises Arrays & Collections / Arrays (3044688),Exercises Miscellaneous / Generics (3044693),Exercises Inheritance & Polymorphism / Abstract Class and Inheritance (3044691),Exercises Strings (3044689),PSI 1 Inspection (3044671),PSI 2 Inspection (3044672),PSI 3 Inspection (3044673),PSI 4 Inspection (3044694),Final Project (3044666),Team Project Score (3044695),Scrum Meeting Recaps (3044663),Portfolio Update (3044667),Post-Test (3339224),Final Exam  (3044661),Extra Credit (3044664),Getting Started Current Score,Getting Started Unposted Current Score,Getting Started Final Score,Getting Started Unposted Final Score,Journals Current Score,Journals Unposted Current Score,Journals Final Score,Journals Unposted Final Score,Quizzes Current Score,Quizzes Unposted Current Score,Quizzes Final Score,Quizzes Unposted Final Score,Exercises Current Score,Exercises Unposted Current Score,Exercises Final Score,Exercises Unposted Final Score,Projects Current Score,Projects Unposted Current Score,Projects Final Score,Projects Unposted Final Score,Teamwork Current Score,Teamwork Unposted Current Score,Teamwork Final Score,Teamwork Unposted Final Score,Portfolio Current Score,Portfolio Unposted Current Score,Portfolio Final Score,Portfolio Unposted Final Score,Extra Credit Current Score,Extra Credit Unposted Current Score,Extra Credit Final Score,Extra Credit Unposted Final Score,Final Exam Current Score,Final Exam Unposted Current Score,Final Exam Final Score,Final Exam Unposted Final Score,Current Score,Unposted Current Score,Final Score,Unposted Final Score
,,50,36,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,10,10,11,10,10,11,100,3,6,3,3,3,3,3,6,3,6,3,100,100,100,100,100,100,100,100,36,100,500,(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only)
STU815064508,201501-12062-1,50,36,8,10,10,10,10,10,10,10,10,6,,10,8,10,10,8,8.67,6,10,7,7,11,7,5,8,78.76612903,3,6,3,3,3,3,3,6,3,6,3,90,95,100,75,85,100,100,50,27,66,,100,100,100,100,94.55,94.55,86.67,86.67,84.14,84.14,84.14,84.14,100,100,100,100,89,89,89,89,100,100,100,100,50,50,50,50,,,0,0,68.38,68.38,68.38,68.38,90.3,90.3,89.9,89.9
STU814883634,201501-12062-1,50,36,8,8,10,10,10,10,10,8,8,8,10,8,6,8,7,6,5.33,6,8,6,8,10,4,3,7,63.16935484,3,6,3,3,3,3,3,5,2,4,3,60,70,75,65,79,100,100,60,19,50,,100,100,100,100,88.33,88.33,88.33,88.33,68.59,68.59,68.59,68.59,90.48,90.48,90.48,90.48,69.8,69.8,69.8,69.8,100,100,100,100,60,60,60,60,,,0,0,50.74,50.74,50.74,50.74,79.3,79.3,79.3,79.3
STU814993628,201501-12062-1,50,36,8,10,10,10,10,10,10,10,9,10,10,8,9,10,8,10,10,9,10,9,10,11,7,9,11,91.93548387,3,6,3,3,3,3,3,6,3,6,3,100,100,100,100,100,100,100,100,30,76,,100,100,100,100,96.67,96.67,96.67,96.67,95.19,95.19,95.19,95.19,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,0,0,77.94,77.94,77.94,77.94,97.8,97.8,97.8,97.8
STU815060102,201501-12062-1,50,36,7.8,10,10,10,10,10,10,8,4,8,6,6,8,7,6,4,8.33,7,8,5,4,10,7,8,8,66.39516129,3,6,3,3,3,3,3,6,3,6,3,70,100,90,80,77,100,100,100,19,75,,99.79,99.79,99.79,99.79,83.33,83.33,83.33,83.33,71.47,71.47,71.47,71.47,100,100,100,100,83.4,83.4,83.4,83.4,100,100,100,100,100,100,100,100,,,0,0,69.12,69.12,69.12,69.12,88.6,88.6,88.6,88.6
STU814959363,201501-12062-1,50,36,8,8,8,6,10,8,8,,4,,4,6,6,8,7,7,9,0,9,5,8,7,6,10,10,69.35483871,3,6,3,3,3,1,3,3,3,6,3,75,100,85,63,87,100,100,95,26,81,,100,100,100,100,68,68,56.67,56.67,80.65,80.65,78.64,78.64,88.1,88.1,88.1,88.1,82,82,82,82,100,100,100,100,95,95,95,95,,,0,0,78.68,78.68,78.68,78.68,85.4,85.4,84.5,84.5
STU814778220,201501-12062-1,50,36,8,10,10,10,10,10,10,10,9,8,10,8,10,10,9,8,10,0,10,9,0,10,8,0,0,59.67741935,3,6,3,3,3,3,3,6,3,6,3,100,100,100,100,100,100,100,100,35,98,,100,100,100,100,95.83,95.83,95.83,95.83,93.55,93.55,72.55,72.55,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,0,0,97.79,97.79,97.79,97.79,98.4,98.4,94.2,94.2
STU814856881,201501-12062-1,43,36,8,,8,,,,,,,,,,,8,8,0,3.67,0,9,5,0,0,0,0,8,33.60483871,3,6,3,3,3,3,3,5,3,6,3,100,100,75,85,69,100,100,,29,82,,92.55,92.55,92.55,92.55,80,80,6.67,6.67,78.57,78.57,40.85,40.85,97.62,97.62,97.62,97.62,85.8,85.8,85.8,85.8,100,100,100,100,,,0,0,,,0,0,81.62,81.62,81.62,81.62,89.2,89.2,73.5,73.5
STU814951795,201501-12062-1,50,36,8,10,10,10,10,10,10,10,10,9,10,10,8,8,7,7,8.67,6,10,4,9,0,4,6,8,62.63709677,3,6,3,3,3,2,,3,3,,3,100,100,81,75,98,100,100,90,24,67,,100,100,100,100,97.5,97.5,97.5,97.5,74.91,74.91,71.52,71.52,87.88,87.88,69.05,69.05,90.8,90.8,90.8,90.8,100,100,100,100,90,90,90,90,,,0,0,66.91,66.91,66.91,66.91,86.6,86.6,79.4,79.4
STU814846038,201501-12062-1,43,36,8,,8,,,,,10,8,8,9,9,,8,6,7,9.67,7,10,8,8,9,9,5,10,77.95967742,3,6,3,3,3,3,3,4,3,6,3,90,100,80,92,89,100,100,100,27,89,,92.55,92.55,92.55,92.55,86.67,86.67,43.33,43.33,82.37,82.37,82.37,82.37,95.24,95.24,95.24,95.24,90.2,90.2,90.2,90.2,100,100,100,100,100,100,100,100,,,0,0,85.29,85.29,85.29,85.29,91.1,91.1,88.9,88.9
STU814999102,201501-12062-1,31,25,8,8,8,10,10,8,10,9,8,8,4,8,8,9,6,6,9,7,8,6,8,9,7,5,4,67.74193548,3,6,3,3,3,3,3,6,3,6,3,90,90,65,84,87,100,100,55,31,90,,68.09,68.09,68.09,68.09,82.5,82.5,82.5,82.5,72.82,72.82,72.82,72.82,100,100,100,100,83.2,83.2,83.2,83.2,100,100,100,100,55,55,55,55,,,0,0,88.97,88.97,88.97,88.97,85.9,85.9,85.9,85.9
STU815107119,201501-12062-1,50,36,,6,8,10,10,4,6,8,4,4,8,8,10,0,0,6,0,5,5,6,0,0,0,6,6,27.41935484,3,6,3,3,3,3,3,6,3,6,3,90,100,100,89,93,100,100,100,22,82,100,100,100,91.49,91.49,71.67,71.67,71.67,71.67,58.54,58.54,33.01,33.01,100,100,100,100,94.4,94.4,94.4,94.4,100,100,100,100,100,100,100,100,20,20,20,20,76.47,76.47,76.47,76.47,89,89,83.5,83.5
STU814954590,201501-12062-1,43,36,8,8,10,10,10,10,10,8,8,8,10,,8,10,9,7,9,5,10,8,8,11,8,0,10,76.61290323,3,6,3,3,3,3,3,6,,,3,100,100,95,80,84,100,100,75,25,87,,92.55,92.55,92.55,92.55,90.91,90.91,83.33,83.33,89.25,89.25,87.38,87.38,100,100,78.57,78.57,91.8,91.8,91.8,91.8,100,100,100,100,75,75,75,75,,,0,0,82.35,82.35,82.35,82.35,93.3,93.3,85,85
STU815089971,201501-12062-1,50,36,8,8,10,10,10,10,10,8,10,10,10,10,10,7,7,8,8.67,8,6,9,10,10,7,8,9,78.76612903,3,6,3,3,3,3,3,6,3,6,3,100,100,100,90,100,100,100,115,27,92,100,100,100,100,100,96.67,96.67,96.67,96.67,82.2,82.2,82.2,82.2,100,100,100,100,98,98,98,98,100,100,100,100,115,115,115,115,20,20,20,20,87.5,87.5,87.5,87.5,97,97,97,97
STU814998134,201501-12062-1,50,36,8,8,10,10,10,10,10,,9,10,10,9,,5,6,10,7,8,7,9,10,11,9,7,7,77.41935484,3,6,3,3,3,3,3,6,3,6,3,98,70,63,55,59,100,100,100,21,44,,100,100,100,100,96,96,80,80,81.73,81.73,81.73,81.73,100,100,100,100,69,69,69,69,100,100,100,100,100,100,100,100,,,0,0,47.79,47.79,47.79,47.79,87.3,87.3,86.5,86.5
STU814937418,201501-12062-1,50,36,8,10,10,10,10,10,10,10,10,9,10,8,10,9,5,8,8.67,5,0,6,9,7,6,7,0,56.99193548,3,6,3,3,3,3,3,6,3,6,3,90,100,90,80,87,100,100,100,,86,,100,100,100,100,97.5,97.5,97.5,97.5,74.9,74.9,69.28,69.28,100,100,100,100,89.4,89.4,89.4,89.4,100,100,100,100,100,100,100,100,,,0,0,86,86,63.24,63.24,92,92,89.8,89.8
STU815065915,201501-12062-1,50,36,,,,,10,10,10,10,8,8,,2,8,0,8,8,10,8,11,10,10,10,9,7,10,81.4516129,3,6,3,3,3,3,3,6,3,6,3,90,95,100,100,100,100,100,100,33,100,,100,100,91.49,91.49,82.5,82.5,55,55,92.47,92.47,90.38,90.38,100,100,100,100,97,97,97,97,100,100,100,100,100,100,100,100,,,0,0,97.79,97.79,97.79,97.79,96.9,96.9,94.7,94.7
STU814990403,201501-12062-1,50,36,8,10,10,10,10,10,10,10,9,10,10,8,9,7,10,6,10,9,11,9,10,11,6,10,10,87.90322581,3,6,3,3,3,3,3,6,3,6,3,100,100,100,80,100,100,100,95,32,97,,100,100,100,100,96.67,96.67,96.67,96.67,93.27,93.27,93.27,93.27,100,100,100,100,96,96,96,96,100,100,100,100,95,95,95,95,,,0,0,94.85,94.85,94.85,94.85,97.2,97.2,97.2,97.2
STU815012221,201501-12062-1,50,36,8,8,10,10,10,10,10,8,10,10,10,10,10,8,7,6,9,10,8,3,5,11,8,6,7,70.96774194,3,6,3,3,3,3,3,6,3,6,3,100,100,95,80,89,100,100,95,26,67,,100,100,100,100,96.67,96.67,96.67,96.67,76.92,76.92,76.92,76.92,100,100,100,100,92.8,92.8,92.8,92.8,100,100,100,100,95,95,95,95,,,0,0,68.38,68.38,68.38,68.38,91.9,91.9,91.9,91.9
STU814976719,201501-12062-1,50,36,8,10,10,10,10,10,10,8,9,8,10,10,,8,6,3,5.33,8,9,7,8,10,6,8,9,70.42741935,3,6,3,3,3,2,3,6,,6,3,76,90,100,95,92,100,100,,26,63,,100,100,100,100,95.45,95.45,87.5,87.5,75.96,75.96,75.96,75.96,97.44,97.44,90.48,90.48,90.6,90.6,90.6,90.6,100,100,100,100,,,0,0,,,0,0,65.44,65.44,65.44,65.44,90,90,82.6,82.6
STU814965642,201501-12062-1,50,36,8,10,10,10,10,10,10,10,9,10,10,9,10,10,10,9,10,10,9,9,10,11,9,10,10,94.35483871,3,6,3,3,3,3,3,6,3,6,3,100,95,100,76,88,100,100,100,35,98,,100,100,100,100,98.33,98.33,98.33,98.33,96.12,96.12,96.12,96.12,100,100,100,100,91.8,91.8,91.8,91.8,100,100,100,100,100,100,100,100,,,0,0,97.79,97.79,97.79,97.79,97.4,97.4,97.4,97.4
STU815001394,201501-12062-1,50,36,8,8,10,10,10,10,10,10,8,8,10,8,8,8,9,7,10,8,10,7,8,10,6,7,10,80.64516129,3,6,3,3,3,3,3,6,3,6,3,100,70,100,100,79,100,100,,,,,100,100,100,100,91.67,91.67,91.67,91.67,83.65,83.65,83.65,83.65,100,100,100,100,89.8,89.8,89.8,89.8,100,100,100,100,,,0,0,,,0,0,,,0,0,93.6,93.6,84.3,84.3
STU814993599,201501-12062-1,50,36,8,6,10,10,10,8,10,10,8,10,10,8,9,8,5,5,8.33,6,11,3,6,11,5,7,10,68.81451613,3,6,3,3,3,3,3,6,3,6,3,100,100,88,70,93,100,100,100,29,73,,100,100,100,100,90.83,90.83,90.83,90.83,74.36,74.36,74.36,74.36,100,100,100,100,90.2,90.2,90.2,90.2,100,100,100,100,100,100,100,100,,,0,0,75,75,75,75,91.2,91.2,91.2,91.2
STU815028672,201501-12062-1,50,36,8,10,10,10,10,10,10,10,10,10,10,10,10,7,6,9,9.67,6,8,9,9,11,6,9,9,79.57258065,3,6,3,3,3,3,3,6,3,6,3,100,100,100,70,95,100,100,90,35,87,,100,100,100,100,100,100,100,100,84.14,84.14,84.14,84.14,100,100,100,100,93,93,93,93,100,100,100,100,90,90,90,90,,,0,0,89.71,89.71,89.71,89.71,94.4,94.4,94.4,94.4
STU814987108,201501-12062-1,50,36,8,8,8,,,,,,,,,,,8,8,4,0,0,0,0,0,0,0,0,0,16.12903226,3,6,,,,,,,,,,,,,,,100,100,,,,,100,100,100,100,80,80,13.33,13.33,80,80,19.61,19.61,100,100,21.43,21.43,,,0,0,100,100,100,100,,,0,0,,,0,0,,,0,0,92.9,92.9,22.1,22.1
STU815082103,201501-12062-1,50,36,8,8,10,10,10,10,10,9,8,10,10,,,9,10,8,9.33,11,9,5,10,11,8,0,0,72.84677419,3,6,3,3,3,3,,6,,,,99,100,95,90,88,100,100,95,,,,100,100,100,100,95,95,79.17,79.17,93.17,93.17,87.7,87.7,100,100,64.29,64.29,94.4,94.4,94.4,94.4,100,100,100,100,95,95,95,95,,,0,0,,,0,0,96.9,96.9,77.6,77.6
STU815070014,201501-12062-1,28,36,8,10,10,10,10,10,10,10,8,10,10,10,10,9,7,6,9,8,8,7,9,10,5,7,9,75.80645161,3,6,3,3,3,3,3,5,2,5,3,98,95,97,98,100,100,100,100,17,82,500,76.6,76.6,76.6,76.6,98.33,98.33,98.33,98.33,79.81,79.81,79.81,79.81,92.86,92.86,92.86,92.86,97.6,97.6,97.6,97.6,100,100,100,100,100,100,100,100,100,100,100,100,72.79,72.79,72.79,72.79,95.4,95.4,95.4,95.4
STU814997075,201501-12062-1,50,36,8,8,10,10,10,10,10,4,8,10,8,9,8,7,5,7,9,8,10,7,7,10,9,7,9,76.61290323,3,6,3,3,3,,3,6,,6,3,90,90,85,77,88,100,100,85,27,84,,100,100,100,100,87.5,87.5,87.5,87.5,79.81,79.81,79.81,79.81,100,100,85.71,85.71,86,86,86,86,100,100,100,100,85,85,85,85,,,0,0,81.62,81.62,81.62,81.62,90.9,90.9,85.9,85.9
STU814878954,201501-12062-1,43,36,8,8,10,10,10,,,,,,,,,7,0,6,6,0,0,0,0,0,0,0,0,15.32258065,3,6,,,,,,,,,,,,,,,100,100,,,,,92.55,92.55,92.55,92.55,95,95,31.67,31.67,70,70,18.63,18.63,100,100,21.43,21.43,,,0,0,100,100,100,100,,,0,0,,,0,0,,,0,0,90.5,90.5,22.4,22.4
STU815046083,201501-12062-1,50,36,8,8,10,10,10,10,10,10,8,10,8,10,10,7,7,4,7,5,9,9,9,10,6,8,9,72.58064516,3,6,3,3,3,3,3,6,3,6,3,100,100,90,95,84,100,100,100,19,90,200,100,100,100,100,95,95,95,95,78.64,78.64,78.64,78.64,100,100,100,100,93.8,93.8,93.8,93.8,100,100,100,100,100,100,100,100,40,40,40,40,80.15,80.15,80.15,80.15,95.2,95.2,95.2,95.2
STU815035583,201501-12062-1,50,36,8,8,10,10,10,10,10,10,9,9,9,8,10,6,6,3,8,6,6,9,6,9,7,5,9,64.51612903,3,6,3,3,3,3,3,6,3,6,3,80,100,95,84,92,100,100,90,27,84,,100,100,100,100,94.17,94.17,94.17,94.17,69.23,69.23,69.23,69.23,100,100,100,100,90.2,90.2,90.2,90.2,100,100,100,100,90,90,90,90,,,0,0,81.62,81.62,81.62,81.62,90.2,90.2,90.2,90.2
STU814833593,201501-12062-1,50,36,8,10,10,8,10,10,10,10,10,10,8,10,10,9,6,6,9.33,10,9,6,7,11,6,8,10,78.49193548,3,6,3,3,3,3,,6,3,6,3,76,100,80,75,95,100,100,90,29,92,,100,100,100,100,96.67,96.67,96.67,96.67,82.05,82.05,82.05,82.05,100,100,92.86,92.86,85.2,85.2,85.2,85.2,100,100,100,100,90,90,90,90,,,0,0,88.97,88.97,88.97,88.97,92.2,92.2,89.7,89.7
STU814962412,201501-12062-1,50,36,8,8,10,10,10,10,10,10,10,9,10,6,4,9,8,5,9.33,9,10,6,9,11,7,8,5,77.68548387,3,6,3,3,3,3,,3,,,3,70,100,75,70,91,100,100,55,29,67,,100,100,100,100,89.17,89.17,89.17,89.17,83.82,83.82,83.82,83.82,90,90,64.29,64.29,81.2,81.2,81.2,81.2,100,100,100,100,55,55,55,55,,,0,0,70.59,70.59,70.59,70.59,85.2,85.2,76.2,76.2
STU815021577,201501-12062-1,50,36,8,10,10,10,10,10,10,10,10,10,10,10,10,6,6,5,7.67,8,10,10,6,11,6,8,10,75.54032258,3,6,3,3,3,3,3,6,3,6,3,96,100,80,92,95,100,100,115,28,57,300,100,100,100,100,100,100,100,100,79.49,79.49,79.49,79.49,100,100,100,100,92.6,92.6,92.6,92.6,100,100,100,100,115,115,115,115,60,60,60,60,62.5,62.5,62.5,62.5,96.3,96.3,96.3,96.3